raw_symbol,instrument_id,date
TSLA,10883,2022-03-18
TSLA,10883,2022-03-19
TSLA,10883,2022-03-20
TSLA,10888,2022-03-21
TSLA,10888,2022-03-22
TSLA,10893,2022-03-23
TSLA,10902,2022-03-24
TSLA,10905,2022-03-25
TSLA,10905,2022-03-26
TSLA,10905,2022-03-27
TSLA,10912,2022-03-28
TSLA,10913,2022-03-29
TSLA,10916,2022-03-30
TSLA,10923,2022-03-31
TSLA,10925,2022-04-01
TSLA,10925,2022-04-02
TSLA,10925,2022-04-03
TSLA,10933,2022-04-04
TSLA,10931,2022-04-05
TSLA,10935,2022-04-06
TSLA,10937,2022-04-07
TSLA,10932,2022-04-08
TSLA,10932,2022-04-09
TSLA,10932,2022-04-10
TSLA,10927,2022-04-11
TSLA,10931,2022-04-12
TSLA,10926,2022-04-13
TSLA,10932,2022-04-14
TSLA,10932,2022-04-15
TSLA,10932,2022-04-16
TSLA,10932,2022-04-17
TSLA,10937,2022-04-18
TSLA,10938,2022-04-19
TSLA,10939,2022-04-20
TSLA,10945,2022-04-21
TSLA,10952,2022-04-22
TSLA,10952,2022-04-23
TSLA,10952,2022-04-24
TSLA,10952,2022-04-25
TSLA,10948,2022-04-26
TSLA,10958,2022-04-27
TSLA,10958,2022-04-28
TSLA,10959,2022-04-29
TSLA,10959,2022-04-30
TSLA,10959,2022-05-01
TSLA,10962,2022-05-02
TSLA,10954,2022-05-03
TSLA,10958,2022-05-04
TSLA,10963,2022-05-05
TSLA,10967,2022-05-06
TSLA,10967,2022-05-07
TSLA,10967,2022-05-08
TSLA,10970,2022-05-09
TSLA,10975,2022-05-10
TSLA,10975,2022-05-11
TSLA,10978,2022-05-12
TSLA,10978,2022-05-13
TSLA,10978,2022-05-14
TSLA,10978,2022-05-15
TSLA,10976,2022-05-16
TSLA,10979,2022-05-17
TSLA,10983,2022-05-18
TSLA,10984,2022-05-19
TSLA,10981,2022-05-20
TSLA,10981,2022-05-21
TSLA,10981,2022-05-22
TSLA,10983,2022-05-23
TSLA,10985,2022-05-24
TSLA,10985,2022-05-25
TSLA,10980,2022-05-26
TSLA,10980,2022-05-27
TSLA,10980,2022-05-28
TSLA,10980,2022-05-29
TSLA,10980,2022-05-30
TSLA,10984,2022-05-31
TSLA,10983,2022-06-01
TSLA,10983,2022-06-02
TSLA,10985,2022-06-03
TSLA,10985,2022-06-04
TSLA,10985,2022-06-05
TSLA,10984,2022-06-06
TSLA,10988,2022-06-07
TSLA,10986,2022-06-08
TSLA,10988,2022-06-09
TSLA,10984,2022-06-10
TSLA,10984,2022-06-11
TSLA,10984,2022-06-12
TSLA,10981,2022-06-13
TSLA,10981,2022-06-14
TSLA,10983,2022-06-15
TSLA,10991,2022-06-16
TSLA,10993,2022-06-17
TSLA,10993,2022-06-18
TSLA,10993,2022-06-19
TSLA,10993,2022-06-20
TSLA,10995,2022-06-21
TSLA,10998,2022-06-22
TSLA,11003,2022-06-23
TSLA,11004,2022-06-24
TSLA,11004,2022-06-25
TSLA,11004,2022-06-26
TSLA,11004,2022-06-27
TSLA,11007,2022-06-28
TSLA,11008,2022-06-29
TSLA,11009,2022-06-30
TSLA,11009,2022-07-01
TSLA,11009,2022-07-02
TSLA,11009,2022-07-03
TSLA,11009,2022-07-04
TSLA,11009,2022-07-05
TSLA,11014,2022-07-06
TSLA,11007,2022-07-07
TSLA,11007,2022-07-08
TSLA,11007,2022-07-09
TSLA,11007,2022-07-10
TSLA,11004,2022-07-11
TSLA,11005,2022-07-12
TSLA,11005,2022-07-13
TSLA,11004,2022-07-14
TSLA,11004,2022-07-15
TSLA,11004,2022-07-16
TSLA,11004,2022-07-17
TSLA,11001,2022-07-18
TSLA,11000,2022-07-19
TSLA,10997,2022-07-20
TSLA,10994,2022-07-21
TSLA,10993,2022-07-22
TSLA,10993,2022-07-23
TSLA,10993,2022-07-24
TSLA,10990,2022-07-25
TSLA,10990,2022-07-26
TSLA,10986,2022-07-27
TSLA,10990,2022-07-28
TSLA,10988,2022-07-29
TSLA,10988,2022-07-30
TSLA,10988,2022-07-31
TSLA,10985,2022-08-01
TSLA,10986,2022-08-02
TSLA,10985,2022-08-03
TSLA,10983,2022-08-04
TSLA,10982,2022-08-05
TSLA,10982,2022-08-06
TSLA,10982,2022-08-07
TSLA,10988,2022-08-08
TSLA,11002,2022-08-09
TSLA,10999,2022-08-10
TSLA,11002,2022-08-11
TSLA,11004,2022-08-12
TSLA,11004,2022-08-13
TSLA,11004,2022-08-14
TSLA,11001,2022-08-15
TSLA,10997,2022-08-16
TSLA,10994,2022-08-17
TSLA,10992,2022-08-18
TSLA,10992,2022-08-19
TSLA,10992,2022-08-20
TSLA,10992,2022-08-21
TSLA,10996,2022-08-22
TSLA,10983,2022-08-23
TSLA,10988,2022-08-24
TSLA,10987,2022-08-25
TSLA,10986,2022-08-26
TSLA,10986,2022-08-27
TSLA,10986,2022-08-28
TSLA,10985,2022-08-29
TSLA,10985,2022-08-30
TSLA,10981,2022-08-31
TSLA,10977,2022-09-01
TSLA,10975,2022-09-02
TSLA,10975,2022-09-03
TSLA,10975,2022-09-04
TSLA,10975,2022-09-05
TSLA,10971,2022-09-06
TSLA,10971,2022-09-07
TSLA,10978,2022-09-08
TSLA,10976,2022-09-09
TSLA,10976,2022-09-10
TSLA,10976,2022-09-11
TSLA,10978,2022-09-12
